City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Manokwari,ID,-0.8667,134.0833,78.55,77,96,3.58,overcast clouds
213,Trabzon,TR,40.9167,39.8333,48.2,93,75,11.5,broken clouds
214,Fort Nelson,CA,58.8053,-122.7002,5.0,78,90,4.61,light snow
215,Senhor Do Bonfim,BR,-10.4614,-40.1894,92.26,28,21,11.23,few clouds
216,Gunjur,GM,13.2019,-16.7339,86.0,42,0,11.5,clear sky
217,Perpignan,FR,42.75,2.75,57.2,35,0,5.75,clear sky
218,Juneau,US,58.3019,-134.4197,33.8,86,90,13.8,moderate rain
219,Kavaratti,IN,10.5669,72.642,83.32,71,0,8.28,clear sky
220,Olafsvik,IS,64.8945,-23.7142,34.0,71,73,8.81,light snow
221,Caravelas,BR,-17.7125,-39.2481,83.98,59,5,8.99,clear sky
222,Kuruman,ZA,-27.4524,23.4325,66.99,78,90,9.71,overcast clouds
223,Hasaki,JP,35.7333,140.8333,39.2,93,20,2.3,few clouds
224,Sulangan,PH,11.1373,123.7228,81.01,78,70,15.03,broken clouds
225,Avera,US,33.194,-82.5271,70.0,60,40,5.75,scattered clouds
226,Areka,ET,7.0667,37.7,69.39,16,9,8.7,clear sky
227,Sioux Lookout,CA,50.1001,-91.917,42.8,36,90,4.61,overcast clouds
228,Alugan,PH,12.2188,125.4808,79.09,84,93,13.42,overcast clouds
229,Henties Bay,NA,-22.116,14.2845,64.0,90,2,5.99,clear sky
230,Elk Point,US,42.6833,-96.6836,46.99,95,100,15.95,moderate rain
231,Chiredzi,ZW,-21.05,31.6667,71.24,70,90,4.52,overcast clouds
232,Price,US,39.5994,-110.8107,42.8,39,90,18.41,overcast clouds
233,Awjilah,LY,29.1081,21.2869,60.3,38,1,19.28,clear sky
234,Marystown,CA,47.1666,-55.1483,43.05,65,1,16.13,clear sky
235,Waipawa,NZ,-41.4122,175.5153,53.6,94,1,5.75,clear sky
236,Lompoc,US,34.6391,-120.4579,55.99,58,20,10.36,few clouds
237,Marsh Harbour,BS,26.5412,-77.0636,72.28,52,0,5.32,clear sky
238,Kerman,IR,30.2832,57.0788,62.6,14,40,4.61,scattered clouds
239,Guilin,CN,25.2819,110.2864,48.2,93,0,0.65,clear sky
240,Luganville,VU,-15.5333,167.1667,75.56,87,21,2.73,few clouds
241,Hualmay,PE,-11.0964,-77.6139,75.9,69,86,11.1,overcast clouds
242,San Antonio,US,29.4241,-98.4936,73.99,43,1,2.57,haze
243,Dawei,MM,14.0833,98.2,77.2,76,17,3.53,few clouds
244,Fayaoue,NC,-20.65,166.5333,77.83,70,93,15.61,overcast clouds
245,Saldanha,ZA,-33.0117,17.9442,89.6,20,7,8.05,clear sky
