City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Mandera,KE,2021-03-19 16:46:20,3.9366,41.867,82.35,55,98,11.18
122,Ondjiva,AO,2021-03-19 16:46:20,-17.0667,15.7333,78.8,65,40,6.91
123,Urumqi,CN,2021-03-19 16:46:20,43.801,87.6005,30.2,69,0,6.71
124,Pastavy,BY,2021-03-19 16:46:21,55.1168,26.8326,28.09,86,99,9.98
125,Coos Bay,US,2021-03-19 16:46:21,43.3665,-124.2179,46.99,87,90,4.61
126,Hilo,US,2021-03-19 16:46:21,19.7297,-155.09,66.2,82,75,4.61
127,Nanlong,CN,2021-03-19 16:46:22,31.3533,106.0631,57.36,51,100,11.61
128,Aberdeen,GB,2021-03-19 16:42:45,57.1437,-2.0981,50.0,87,90,10.36
129,Yenotayevka,RU,2021-03-19 16:46:22,47.2456,47.0281,36.0,92,100,1.01
130,Cururupu,BR,2021-03-19 16:46:23,-1.8283,-44.8683,81.57,86,57,3.91
131,Dikson,RU,2021-03-19 16:46:23,73.5069,80.5464,-31.79,92,0,4.68
132,Sribne,UA,2021-03-19 16:46:23,50.6638,32.9187,32.9,85,100,4.76
133,Port-Cartier,CA,2021-03-19 16:46:24,50.0334,-66.8654,19.0,35,20,14.97
134,Jawhar,SO,2021-03-19 16:46:24,2.7809,45.5005,79.9,75,50,14.88
135,Chuy,UY,2021-03-19 16:46:24,-33.6971,-53.4616,71.6,54,0,7.05
136,Yellowknife,CA,2021-03-19 16:41:32,62.456,-114.3525,24.01,73,75,10.36
137,Bolshoye Nagatkino,RU,2021-03-19 16:46:25,54.5196,47.9679,30.2,80,90,13.42
138,Maumere,ID,2021-03-19 16:43:12,-8.6199,122.2111,80.19,83,82,7.02
139,Mena,UA,2021-03-19 16:46:25,51.5217,32.2157,30.49,90,97,4.63
140,Sept-Iles,CA,2021-03-19 16:46:26,50.2001,-66.3821,19.0,35,20,14.97
141,Saldanha,ZA,2021-03-19 16:46:26,-33.0117,17.9442,69.8,56,34,18.41
142,Dunedin,NZ,2021-03-19 16:46:26,-45.8742,170.5036,54.0,80,92,1.99
143,Cabo San Lucas,MX,2021-03-19 16:42:16,22.8909,-109.9124,75.99,68,1,2.48
144,Souillac,MU,2021-03-19 16:46:27,-20.5167,57.5167,78.8,78,40,6.91
145,Bethel,US,2021-03-19 16:46:27,41.3712,-73.414,35.6,32,1,16.11
146,Tuatapere,NZ,2021-03-19 16:46:28,-46.1333,167.6833,54.0,83,93,4.0
147,Tadine,NC,2021-03-19 16:46:28,-21.55,167.8833,75.09,79,100,17.18
148,Bratsk,RU,2021-03-19 16:46:28,56.1325,101.6142,15.01,73,76,6.71
149,Rondonopolis,BR,2021-03-19 16:46:29,-16.4708,-54.6356,81.19,81,92,6.91
150,Codrington,AU,2021-03-19 16:46:29,-38.2667,141.9667,57.49,93,0,7.76
151,Hobart,AU,2021-03-19 16:46:29,-42.8794,147.3294,55.99,87,75,5.75
152,Burnie,AU,2021-03-19 16:46:30,-41.0667,145.9167,57.99,72,32,8.99
153,Toora-Khem,RU,2021-03-19 16:46:30,52.4675,96.11,7.81,90,13,1.52
154,Nikolskoye,RU,2021-03-19 16:46:31,59.7035,30.7861,21.99,58,40,4.47
155,Donauworth,DE,2021-03-19 16:45:44,48.7,10.8,36.0,77,100,1.01
156,Vaini,TO,2021-03-19 16:46:31,-21.2,-175.2,75.2,94,20,2.3
157,Tasiilaq,GL,2021-03-19 16:46:31,65.6145,-37.6368,30.2,74,1,10.36
158,Alyangula,AU,2021-03-19 16:46:32,-13.8483,136.4192,81.75,79,83,10.38
159,Dingle,PH,2021-03-19 16:46:32,10.9995,122.6711,77.16,83,23,5.75
160,Kyaikto,MM,2021-03-19 16:46:33,17.3,97.0167,76.82,65,0,3.51
161,Isangel,VU,2021-03-19 16:46:33,-19.55,169.2667,75.76,83,79,11.43
162,Rock Hill,US,2021-03-19 16:46:33,34.9249,-81.0251,52.0,58,90,8.05
163,Hasaki,JP,2021-03-19 16:46:34,35.7333,140.8333,44.6,87,20,8.05
164,Yola,NG,2021-03-19 16:46:34,9.2,12.4833,99.99,22,75,2.8
165,Ilulissat,GL,2021-03-19 16:46:34,69.2167,-51.1,21.2,53,75,17.27
166,Sulecin,PL,2021-03-19 16:46:35,52.4443,15.1168,34.0,45,72,5.01
167,Kautokeino,NO,2021-03-19 16:46:35,69.0125,23.0412,19.35,87,82,17.65
