City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Nargana,PA,83.25,broken clouds,9.4428,-78.5906,Dubbir
340,Viedma,AR,86.67,few clouds,-40.8135,-62.9967,Hotel Cristal
343,Sassandra,CI,80.51,light rain,4.95,-6.0833,la terrasse
350,Epe,NG,79.25,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
353,Kontagora,NG,93.94,overcast clouds,10.3999,5.4695,Queens Guest Inn
355,Cayenne,GF,86.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
357,Amahai,ID,78.46,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
362,Aquin,HT,79.52,scattered clouds,18.2833,-73.4,Asheev Beach
367,Villa Guerrero,MX,80.6,clear sky,18.8667,-99.65,"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center"
370,Vilhena,BR,80.6,broken clouds,-12.7406,-60.1458,Hotel Mirage
371,Ariquemes,BR,76.41,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
372,Anahuac,MX,78.8,scattered clouds,27.2333,-100.15,Rancho Guadalupe
379,Port Hedland,AU,77.0,broken clouds,-20.3167,118.5667,The Esplanade Hotel
381,Itarema,BR,83.23,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
382,Cairns,AU,78.8,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
388,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
391,Mumford,GH,80.98,overcast clouds,5.2618,-0.759,Spanish Villa
393,Kochinda,IN,81.66,scattered clouds,21.7333,84.35,Shristi Lodge
394,Alyangula,AU,81.82,light rain,-13.8483,136.4192,Groote Eylandt Lodge
395,Ode,NG,77.67,broken clouds,7.7899,5.7117,MORALAB HOTEL
397,Vredendal,ZA,77.05,broken clouds,-31.6683,18.5012,Tharrakamma Guest House
399,Dingle,PH,76.05,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
400,Bontang,ID,77.05,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
405,Robertsport,LR,80.83,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
409,Kieta,PG,78.12,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
418,Champerico,GT,86.0,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
